"Median age (years)"
"18","Liechtenstein","..",""
"117","Marshall Islands","..",""
"55","Palau","..",""
"","Human Development","..",""
" ","Very high human development","39.1",""
" ","High human development","33.0",""
" ","Medium human development","25.5",""
" ","Low human development","17.9",""
" ","Developing Countries","28.1",""
"","Regions","..",""
" ","Arab States","24.4",""
" ","East Asia and the Pacific","34.2",""
" ","Europe and Central Asia","32.1",""
" ","Latin America and the Caribbean","29.2",""
" ","South Asia","26.1",""
" ","Sub-Saharan Africa","18.3",""
" ","Least Developed Countries","19.8",""
" ","Small Island Developing States","29.0",""
" ","Organization for Economic Co-operation and Development","39.0",""
" ","World","30.3",""
"a: Includes Christmas Island, Cocos (Keeling) Islands and Norfolk Island."
"b: Includes Nagorno-Karabakh."
"c: Includes Northern Cyprus."
"d: Includes ≈land Islands."
"e: Includes Abkhazia and South Ossetia."
"f: Includes Sabah and Sarawak."
"g: Includes Agalega, Rodrigues and Saint Brandon."
"h: Includes Transnistria."
"i: Includes Svalbard and Jan Mayen Islands."
"j: Includes East Jerusalem."
"k: Includes Kosovo."
"l: Includes Canary Islands, Ceuta and Melilla."
"m: Includes Zanzibar."
"n: Includes Crimea."
""
